"Codigo";"Latitude";"Longitude";"Area";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI";"Atencao";"Alerta";"Inunda";"Status"
34879500;-3,454;-42,37;298000;"Luzilândia";2025-10-29 20:30:00;2025-10-29 19:30:00;2025-10-29 18:30:00;142;0;;5;;0;0;"PARNAÍBA";124;;"1985";146;101;242;"40%-50%";;;;;
34930000;-4,41;-42,181;4910;"Fazenda Alegria";2025-10-29 19:45:00;2025-10-29 18:45:00;2025-10-29 17:45:00;70;-1;;;-12;0;0;"LONGÁ";83;;"2008";78;41;146;"10%-20%";;;;;
34933000;-4,393;-42,407;1760;"PEDRA BRANCA";2025-10-29 19:45:00;2025-10-29 18:45:00;2025-10-29 17:45:00;61;-1;-6;;-19;0;0;"MARATÃ";;;"2020";94;88;110;"Mínima-0%";;;;;
34936000;-4,238;-42,305;2900;"Pedrinhas";2025-10-29 19:45:00;2025-10-29 18:45:00;2025-10-29 17:45:00;178;-1;;;-34;0;0;"MARATÃ";209;;"2020";198;152;240;"20%-30%";;;;;
34940000;-3,903;-42,23;11200;"Esperantina";2025-10-29 19:45:00;2025-10-29 18:45:00;2025-10-29 17:45:00;221;-1;-7;;;0;0;"LONGÁ";242;;"2008";244;190;306;"10%-20%";;;;;
34976000;-3,937;-41,717;5190;"PIRACURUCA";2025-10-29 20:15:00;2025-10-29 19:15:00;2025-10-29 18:15:00;234;0;-1;;0;0;0;"PIRACURUCA";235;;"2009";234;226;258;"56%-67%";;;;;
34980000;-3,724;-41,974;21800;"TINGUIS";2025-10-29 19:45:00;2025-10-29 18:45:00;2025-10-29 17:45:00;157;0;-1;;-1;0;1,2;"LONGÁ";158;;"2009";62;-25;160;"90%-100%";;;;;
36320000;-5,9;-38,633;39600;"Jaguaribe";2025-10-29 19:45:00;2025-10-29 18:45:00;2025-10-29 17:45:00;182;0;;;;0,2;0,4;"JAGUARIBE";178;;"1985";212,5;174;249;"10%-20%";;;;;
39100000;-7,962;-36,202;1560;"Capibaribe";2025-10-29 19:15:00;2025-10-29 18:15:00;2025-10-29 17:15:00;128;1;3;4;5;0;0,6;"CAPIBARIBE";120;;"2020";112,5;89;150;"62%-75%";;;;;
39575000;-8,883;-36,219;808;"CANHOTINHO";2025-10-29 19:45:00;2025-10-29 18:45:00;2025-10-29 17:45:00;142;0;1;;-10;0;4,2;"CANHOTO";129;;"2022";132;109;149;"67%-78%";;;;;
39689000;-9,124;-36,339;479;"CORRENTES II";;;;;;;;;;;"MUNDAU";;;;;;;;;;;;
39700000;-9,168;-36,218;767;"SANTANA DO MUNDAU";2025-10-29 20:15:00;2025-10-29 19:15:00;2025-10-29 18:15:00;206;0;3;2;-4;0;4,8;"MUNDAU";194;;"2022";210;152;321;"30%-40%";;;;;
39715000;-9,002;-36,326;128;"PALMERINA";2025-10-29 19:15:00;2025-10-29 18:15:00;2025-10-29 17:15:00;36;-1;0;-2;;0;3;"PALMERINA";29;;"2022";44;31;50;"0%-20%";;;;;
39720000;-9,004;-36,051;1170;"SÃO JOSE DA LAJE";2025-10-29 21:15:00;2025-10-29 20:15:00;2025-10-29 19:15:00;185;-3;1;-2;-6;0;6;"CANHOTO";157;;"2000";168,5;157;186;"90%-100%";;;;;
39740000;-9,154;-36,036;2900;"UNIAO DOS PALMARES";2025-10-29 21:00:00;2025-10-29 20:00:00;2025-10-29 19:00:00;154;1;4;0;-7;0,2;34;"MUNDAU";132;;"2022";147;95;184;"60%-70%";;;;;
39760000;-9,314;-35,95;3290;"MURICI PONTE";2025-10-29 20:00:00;2025-10-29 19:00:00;2025-10-29 18:00:00;175;0;;4;-4;0,6;5,2;"MUNDAU";148;;"2022";101;64;177;"90%-100%";;;;;
41340000;-19,56;-43,911;4860;"Ponte Raul Soares";2025-10-29 20:00:00;2025-10-29 19:00:00;2025-10-29 18:00:00;34;-8;-2;;-4;0;0;"DAS VELHAS";204;;"2022";103,5;19;264;"0%-10%";;750;800;850;"Normal"
41350000;-19,543;-43,903;;"Pirapora";;;;;;;;;;;"SÃO FRANCISCO";;;;;;;;;;;;
41410000;-19,231;-44,025;7080;"Jequitibá";2025-10-29 20:00:00;2025-10-29 19:00:00;2025-10-29 18:00:00;57;3;-2;-11;0;0;0;"DAS VELHAS";296;;"2022";102,5;51;253;"0%-10%";;800;1000;1180;"Normal"
41650002;-18,673;-44,194;10700;"Ponto do Licínio";2025-10-29 20:00:00;2025-10-29 19:00:00;2025-10-29 18:00:00;134;0;-2;-5;-2;0;0;"DAS VELHAS";182;;"2022";158;130;259;"0%-10%";;810;860;910;"Normal"
41780002;-18,645;-44,051;3980;"Presidente Juscelino";2025-10-29 20:15:00;2025-10-29 19:15:00;2025-10-29 18:15:00;43;-102;;;;0;1,2;"PARAUNA";128;;"2020";60;38;174;"0%-10%";;;;;
41818000;-18,306;-44,226;16600;"Santo Hipólito";2025-10-29 07:00:00;2025-10-29 06:00:00;2025-10-29 05:00:00;63;0;-3;-2;-1;0;0;"DAS VELHAS";180;;"2020";110;62;255;"0%-10%";;540;640;745;"Normal"
44200000;-15,949;-44,868;184000;"São Francisco";2025-10-29 20:15:00;2025-10-29 19:15:00;2025-10-29 18:15:00;178;-2;-6;-1;5;0;0;"SÃO FRANCISCO";249;;"1992";280;137;530;"0%-10%";;600;640;750;"Normal"
44290002;-15,601;-44,397;194000;"Pedras de Maria da Cruz";;;;;;;;;;;"SÃO FRANCISCO";;;;;;;;;;;;
44500000;-14,757;-43,932;202000;"Manga";;;;;;;;;;;"SÃO FRANCISCO";;;;;;;;;850;900;950;
45298000;-14,304;-43,763;254000;"Carinhanha";2025-10-29 19:30:00;2025-10-29 18:30:00;2025-10-29 17:30:00;106;-1;5;8;4;0;0;"SÃO FRANCISCO";157;;"1979";210;60;433;"0%-10%";;860;930;1000;"Normal"
45480000;-13,257;-43,435;271000;"Bom Jesus da Lapa";2025-10-29 20:30:00;2025-10-29 19:30:00;2025-10-29 18:30:00;271;3;3;10;2;0;0;"SÃO FRANCISCO";316;;"1979";359;219;566;"10%-20%";;850;900;950;"Normal"
45960001;-13,291;-43,909;31000;"Porto Novo";2025-10-29 20:00:00;2025-10-29 19:00:00;2025-10-29 18:00:00;27;-4;;;2;0;0;"CORRENTE";80;;"2016";128;42;240;"Mínima-0%";;500;550;600;"Normal"
46675000;-11,611;-44,157;39600;"Fazenda Macambira";2024-11-28 10:00:00;2024-11-28 09:00:00;2024-11-28 08:00:00;221;4;18;57;70;0;0;"GRANDE";153;;"2021";177;43;278;"80%-90%";;;;;
46902000;-11,345;-43,826;65900;"Boqueirão";2025-10-29 20:15:00;2025-10-29 19:15:00;2025-10-29 18:15:00;39;-3;;;;0;0;"GRANDE";92;;"1980";82,5;5;169;"0%-10%";;400;425;450;"Normal"
46998000;-11,093;-43,14;425000;"Barra";2025-10-29 20:30:00;2025-10-29 19:30:00;2025-10-29 18:30:00;128;2;;15;;0;0;"SÃO FRANCISCO";178;;"1926";131;63;217;"38%-50%";;720;760;800;"Normal"
50520000;-11,06;-38,837;26100;"Ponte Euclides da Cunha";2025-10-29 19:30:00;2025-10-29 18:30:00;2025-10-29 17:30:00;106;-4;25;25;24;0;0,2;"ITAPICURU";84;;"1969";50;4;185;"90%-100%";;;;;
51240000;-12,986;-40,958;16500;"Itaeté";2025-10-29 21:15:00;2025-10-29 20:15:00;2025-10-29 19:15:00;436;-9;-43;48;51;0,2;0,4;"PARAGUAÇU";434;;"1978";438,5;379;801;"50%-60%";;;;;
53460500;-15,669;-42,453;2870;"Passagem das Éguas";2025-10-29 20:30:00;2025-10-29 19:30:00;2025-10-29 18:30:00;253;-2;;;6;0;0;"PARDO";249;;"2021";245;222;362;"50%-60%";;;;;
56110000;-20,417;-42,9;6210;"Ponte Nova";;;;;;;;;;;"PIRANGA";;;;;;;;;;;;
56110005;-20,384;-42,903;6230;"Ponte Nova";2025-10-29 20:00:00;2025-10-29 19:00:00;2025-10-29 18:00:00;74;0;-6;-10;-4;0;0;"DOCE";135;;"2012";120;55;237;"0%-10%";;;;;
56610000;-19,932;-43,173;1163;"Piracicaba";2025-10-29 20:00:00;2025-10-29 19:00:00;2025-10-29 18:00:00;56;;-10;-57;2;0;0;"DOCE";175;;"2022";88;0;265;"20%-30%";;;;;
56660000;-19,767;-43,033;3060;"Nova Era";;;;;;;;;;;"PIRACICABA";;;;;;;;;;;;
56661000;-19,767;-43,026;3060;"Nova Era";2025-10-29 20:15:00;2025-10-29 19:15:00;2025-10-29 18:15:00;52;2;-2;-23;7;0;0;"DOCE";209;;"2022";75;42;175;"0%-10%";;;;;
56696000;-19,525;-42,641;5270;"Má De Carvalho";2025-10-29 20:30:00;2025-10-29 19:30:00;2025-10-29 18:30:00;81;-2;-4;;1;0;0;"DOCE";;;"2022";114;22;231;"30%-40%";;;;;
56825000;-19,188;-42,423;10200;"Naque Velho";2025-10-29 20:15:00;2025-10-29 19:15:00;2025-10-29 18:15:00;215;-2;;;;0;0;"DOCE";267;;"2016";195;121;352;"60%-70%";;;;;
56850000;-18,883;-41,951;40500;"Governador Valadares";2025-10-29 20:15:00;2025-10-29 19:15:00;2025-10-29 18:15:00;111;12;-6;;9;0;0;"DOCE";186;;"1997";153;62;245;"0%-10%";;300;320;360;"Normal"
56994500;-19,533;-40,63;76400;"Colatina";2025-10-29 17:15:00;2025-10-29 16:15:00;2025-10-29 15:15:00;74;-29;-12;-13;74;0;0;"DOCE";154;;"2013";116,5;44;285;"10%-20%";;460;530;580;"Normal"
56998200;-19,415;-40,076;82100;"Linhares";;;;;;;;;;;"DOCE";;;;;;;;;;;;
58770000;-21,389;-42,696;5880;"Cataguases";2025-10-29 21:00:00;2025-10-29 20:00:00;2025-10-29 19:00:00;82;4;-1;-4;7;0,2;0,2;"POMBA";137;;"1979";99;65;226;"10%-20%";;;;;
58790002;-21,542;-42,181;8210;"Santo Antônio de Pádua II";2025-10-29 20:30:00;2025-10-29 19:30:00;2025-10-29 18:30:00;53;-4;-20;-6;-35;0;0;"POMBA";111;;"2012";88;39;153;"20%-30%";;;;;
58792100;-21,621;-42,1;8530;"Aperibé";2025-10-29 20:45:00;2025-10-29 19:45:00;2025-10-29 18:45:00;41;-3;-18;;-32;0;0;"POMBA";97;;"2022";65;32;135;"0%-12%";;;;;
58940000;-21,208;-41,892;5800;"Itaperuna";2025-10-29 21:15:00;2025-10-29 20:15:00;2025-10-29 19:15:00;174;0;-25;0;3;0;0;"MURIAÉ";226;;"2008";197;135;278;"10%-20%";;;;;
58960000;-21,492;-41,614;7210;"Cardoso Moreira";2025-10-29 20:45:00;2025-10-29 19:45:00;2025-10-29 18:45:00;52;-4;;11;6;0;0;"MURIAÉ";114;;"2008";102;4;374;"10%-20%";;300;500;750;"Normal"
58974000;-21,751;-41,324;55700;"Campos";2025-10-29 21:15:00;2025-10-29 20:15:00;2025-10-29 19:15:00;460;0;-7;-12;7;0;0;"MURIAÉ";507;;"1966";625,5;455;805;"0%-10%";;;;;
66010000;-15,076;-57,182;9250;"BARRA DO BUGRES";2025-10-29 19:30:00;2025-10-29 18:30:00;2025-10-29 17:30:00;46;2;-21;4;6;11,2;19,2;"PARAGUAI";46;;"1991";70;40;513;"0%-10%";;460;510;560;"Normal"
66070004;-16,076;-57,702;32400;"CÁCERES (DNPVN)";2025-10-29 20:00:00;2025-10-29 19:00:00;2025-10-29 18:00:00;75;-5;-14;7;;0;38,6;"PARAGUAI";89;;"1982";174;49;353;"0%-10%";;480;530;630;"Normal"
66090000;-16,733;-57,749;47100;"DESCALVADOS";;;;;;;;;;;"PARAGUAI";;;;;;;;;;;;
66120000;-17,143;-57,359;64000;"PORTO CONCEICAO";2025-10-29 20:30:00;2025-10-29 19:30:00;2025-10-29 18:30:00;246;4;;12;8;0;35,2;"PARAGUAI";196;;"1995";310;193;434;"10%-20%";;;;;
66125000;-17,641;-57,691;68900;"BELA VISTA DO NORTE";2025-10-29 20:15:00;2025-10-29 19:15:00;2025-10-29 18:15:00;318;-3;-11;-26;-37;0;3,6;"PARAGUAI";240;;"1982";329,5;238;387;"40%-50%";;;;;
66260001;-15,616;-56,109;23500;"CUIABÁ";2025-04-30 07:00:00;2025-04-30 06:00:00;2025-04-30 05:00:00;332;19;-69;-21;56,5384615;0;0;"CUIABÁ";;;"1974";145;12;340;"30%-40%";;600;700;800;"Normal"
66260002;-15,583;-56,134;22800;"CUIABÁ";;;;;;;;;;;"CUIABÁ";;;;;;;;;;;;
66260006;-15,619;-56,1;23500;"CUIABÁ";2025-10-29 20:00:00;2025-10-29 19:00:00;2025-10-29 18:00:00;119;-8;-15;-6;2;0;4,6;"CUIABÁ";;;;;;;;;;;;
66270000;-15,87;-56,076;25300;"SANTO ANTÔNIO DO LEVERGER";2025-10-29 18:45:00;2025-10-29 17:45:00;2025-10-29 16:45:00;245;-4;-13;-6;6;0;5;"CUIABÁ";258;;"1974";348;238;500;"0%-10%";;;;;
66280000;-16,193;-55,967;28900;"BARÃO DE MELGAÇO";2025-10-23 07:00:00;2025-10-23 06:00:00;2025-10-23 05:00:00;212;-1;15;22;20;0;0;"CUIABÁ";200;;"1992";261;184;635;"0%-10%";;;;;
66340000;-16,512;-56,376;36900;"PORTO CERCADO (Ex-Retiro BiguaÃ§al)";;;;;;;;;;;"CUIABÁ";;;;;;;;;;;;
66460000;-16,608;-55,206;23000;"ACIMA DO CÓRREGO GRANDE";2025-10-28 19:15:00;2025-10-28 18:15:00;2025-10-28 17:15:00;32;-2;-31;-1;2;0;16,2;"SÃO LOURENÇO";114;;"1997";112;34;239;"Mínima-0%";;;;;
66470000;-16,925;-56,224;24100;"SÃO JOSÉ DO BORIREU";2023-09-15 07:00:00;2023-09-15 06:00:00;2023-09-15 05:00:00;69;-4;-4;-1;-2;0;0;"SÃO LOURENÇO";;;;;;;;;;;;
66600000;-17,202;-56,009;23300;"SÃO JERÔNIMO";2025-10-29 19:45:00;2025-10-29 18:45:00;2025-10-29 17:45:00;204;-1;4;;7;0;31;"PIQUIRI";;;;;;;;;;;;
66650000;-17,292;-56,387;30000;"SÃO JOSÉ DO PIQUIRI";2025-10-29 20:00:00;2025-10-29 19:00:00;2025-10-29 18:00:00;190;-1;6;7;7;0;22;"PIQUIRI";182;;"1977";210,5;160;269;"10%-20%";;;;;
66710000;-17,366;-56,775;95200;"POUSADA TAIAMÃ  (Ex-Porto Jofre)";2025-10-29 20:00:00;2025-10-29 19:00:00;2025-10-29 18:00:00;246;-3;12;20;17;0;14,8;"CUIABÁ";220;;"2003";289;218;336;"0%-10%";;;;;
66750000;-17,623;-56,965;103000;"PORTO DO ALEGRE";;;;;;;;;;;"CUIABÁ";;;;;;;;;;;;
66810000;-18,394;-57,391;243000;"PORTO SAO FRANCISCO";2025-10-29 21:00:00;2025-10-29 20:00:00;2025-10-29 19:00:00;382;-2;;-34;;0;0;"PARAGUAI";264;;"1995";458,5;251;576;"20%-30%";;;;;
66825000;-19,002;-57,594;253000;"LADÁRIO";2025-10-29 07:00:00;2025-10-29 06:00:00;2025-10-29 05:00:00;71;-4;-21;-39;-74;0;0;"PARAGUAI";-42;;"1988";161;-44;364;"10%-20%";;;;;
66870000;-18,508;-54,762;27600;"COXIM";2025-10-29 20:30:00;2025-10-29 19:30:00;2025-10-29 18:30:00;374;4;-2;-6;7;0;4,2;"TAQUARI";;;"1977";;;;"0%-10%";;;;;
66900000;-20,762;-56,091;11600;"ESTRADA MT-738";2025-10-29 19:45:00;2025-10-29 18:45:00;2025-10-29 17:45:00;247;-141;141;;119;4,8;109;"MIRANDA";;;;;;;;;;;;
66910000;-20,241;-56,399;15000;"MIRANDA";2025-10-29 20:00:00;2025-10-29 19:00:00;2025-10-29 18:00:00;313;107;152;;182;6,4;100,2;"MIRANDA";175;;"1992";238;104;587;"60%-70%";;;;;
66941000;-20,448;-55,428;10900;"PALMEIRAS";2025-10-29 21:30:00;2025-10-29 20:30:00;2025-10-29 19:30:00;170;-2;30;;;0,2;69,2;"AQUIDAUANA";;;"2011";171;93;313;"40%-50%";;;;;
66945000;-20,478;-55,801;15700;"AQUIDAUANA";2025-10-29 20:00:00;2025-10-29 19:00:00;2025-10-29 18:00:00;213;2;37;;62;1,2;63;"AQUIDAUANA";249;;"2011";286,5;106;487;"10%-20%";;;;;
66960008;-19,601;-57,437;371000;"PORTO ESPERANÇA";2025-10-29 21:00:00;2025-10-29 20:00:00;2025-10-29 19:00:00;-2;-2;;-35;-70;0,6;0,8;"PARAGUAI";;;;;;;;;;;;
66970000;-19,92;-57,792;372000;"FORTE COIMBRA";2025-10-28 07:00:00;2025-10-28 06:00:00;2025-10-28 05:00:00;-54;-2;-18;-46;-80;0;0;"PARAGUAI";-165;;"1988";69,5;-192;376;"10%-20%";;;;;
67030000;-21,099;-57,844;546000;"BARRANCO BRANCO";;;;;;;;;;;"PARAGUAI";;;;;;;;;;;;
67100000;-21,7;-57,891;576000;"PORTO MURTINHO";2025-10-29 07:00:00;2025-10-29 06:00:00;2025-10-29 05:00:00;193;-3;-6;-27;-58;0;0;"PARAGUAI";62;;"1982";323;60;672;"10%-20%";;;;;
71200000;-27,803;-49,779;1010;"Vila Canoas";2025-10-29 21:00:00;2025-10-29 20:00:00;2025-10-29 19:00:00;395;242;239;244;192;17,4;26,6;"CANOAS";;;;;;;;;500;600;700;"Normal"
71300000;-27,702;-49,84;2000;"Rio Bonito";2025-10-29 21:00:00;2025-10-29 20:00:00;2025-10-29 19:00:00;298;98;73;72;-80;0;0;"CANOAS";160;;"1990";216;52;943;"60%-70%";;;;;
71350001;-27,508;-50,113;3230;"Encruzilhada II";2025-10-29 21:00:00;2025-10-29 20:00:00;2025-10-29 19:00:00;198;19;-35;-39;-196;0;0,2;"CANOAS";187;;"2017";278;122;873;"30%-40%";;400;500;600;"Normal"
72715000;-26,896;-51,076;801;"Rio das Antas";2025-10-29 21:00:00;2025-10-29 20:00:00;2025-10-29 19:00:00;152;-2;-3;-8;-10;2,2;11,6;"DO PEIXE";152;;"1997";155;72;362;"30%-40%";;250;350;450;"Normal"
72810000;-27,088;-51,258;2010;"Tangará";2025-10-29 21:00:00;2025-10-29 20:00:00;2025-10-29 19:00:00;93;1;-9;-11;-19;16,4;63,6;"DO PEIXE";100;;"2022";105;62;419;"20%-30%";;350;450;550;"Normal"
72849000;-27,159;-51,481;3710;"Joaçaba I";2025-10-29 21:00:00;2025-10-29 20:00:00;2025-10-29 19:00:00;182;21;24;19;5;17;42,4;"DO PEIXE";139;;"2014";154;55;665;"60%-70%";;700;800;900;"Normal"
73770000;-26,818;-52,734;5550;"Porto Fae Novo";2025-10-29 20:45:00;2025-10-29 19:45:00;2025-10-29 18:45:00;192;58;-21;;44;2,6;38,4;"CHAPECÓ";151;;"1983";192,5;62;702;"50%-60%";;;;;
73960000;-27,042;-52,954;8240;"Barra do Chapecó Aux.";2025-10-29 20:00:00;2025-10-29 19:00:00;2025-10-29 18:00:00;240;28;-1;-26;0;4;60,6;"CHAPECÓ";200;;"1983";222;131;588;"70%-80%";;520;630;700;"Normal"
74100000;-27,176;-53,23;61900;"Iraí";2025-10-29 21:00:00;2025-10-29 20:00:00;2025-10-29 19:00:00;310;-7;6;-12;11;0,4;80,4;"URUGUAI";236;;"1983";276;140;794;"60%-70%";;500;600;800;"Normal"
74295000;-27,013;-53,295;300;"Linha Jataí";2025-10-29 20:00:00;2025-10-29 19:00:00;2025-10-29 18:00:00;162;38;64;51;47;0,4;110,6;"IRACEMA";88;;"1983";93;60;329;"80%-90%";;600;700;800;"Normal"
74300000;-26,588;-53,454;814;"Guatapara de Baixo";2025-10-29 21:15:00;2025-10-29 20:15:00;2025-10-29 19:15:00;228;52;;93;85;0,2;106,6;"DAS ANTAS";59;;"2013";112;60;784;"80%-90%";;700;900;1100;"Normal"
74320000;-26,682;-53,286;609;"Ponte do Sargento";2025-05-12 10:00:00;2025-05-12 09:00:00;2025-05-12 08:00:00;-13;2;0;1;0;0;0;"SARGENTO";;;;;;;;;;;;
74329000;-27,172;-53,71;72300;"Itapiranga";2025-10-29 21:15:00;2025-10-29 20:15:00;2025-10-29 19:15:00;271;58;44;58;3;0;48,4;"URUGUAI";181;;"2023";234,5;100;756;"50%-62%";;500;600;730;"Normal"
74500000;-27,302;-54,14;82300;"Alto Uruguai";2025-10-29 20:30:00;2025-10-29 19:30:00;2025-10-29 18:30:00;420;85;84;;-2;0,6;102;"URUGUAI";240;;"1965";292;92;1140;"60%-70%";;1700;1900;2100;"Normal"
74720000;-27,578;-54,683;90700;"Porto Mauá";2025-10-29 21:30:00;2025-10-29 20:30:00;2025-10-29 19:30:00;489;122;89;;22;0;32,2;"URUGUAI";300;;"2023";323,5;130;846;"80%-100%";;800;950;1050;"Normal"
